Index,Zip Code,Students Standard Exceeded_math2021,Students Standard Met_math2021,Students Standard Met and Above_math2021,Students Standard Nearly Met_math2021,Students Standard Not Met_math2021,Students with Scores_math2021,Percentage Standard Exceeded_math2021,Percentage Standard Met_math2021,Percentage Standard Met and Above_math2021,Percentage Standard Nearly Met_math2021,Percentage Standard Not Met_math2021,Median Mortgage
230,92084,17,47,64,102,220,386,4.404145078,12.1761658,16.58031088,26.42487047,56.99481865,600600
231,92086,1,2,3,2,23,28,3.571428571,7.142857143,10.71428571,7.142857143,82.14285714,265800
232,92101,27,54,81,121,228,430,6.279069767,12.55813953,18.8372093,28.13953488,53.02325581,626000
233,92102,31,90,121,255,575,951,3.259726604,9.463722397,12.723449,26.81388013,60.46267087,477100
234,92103,25,36,61,42,33,136,18.38235294,26.47058824,44.85294118,30.88235294,24.26470588,835300
235,92105,8,12,20,15,64,99,8.080808081,12.12121212,20.2020202,15.15151515,64.64646465,459200
236,92108,3,18,21,30,49,100,3,18,21,30,49,469300
237,92111,97,116,213,129,209,551,17.60435572,21.05263158,38.6569873,23.41197822,37.93103448,604600
238,92113,1,1,2,14,83,99,1.01010101,1.01010101,2.02020202,14.14141414,83.83838384,406600
239,92114,28,52,80,117,207,404,6.930693069,12.87128713,19.8019802,28.96039604,51.23762376,461500
240,92115,6,32,38,91,252,381,1.57480315,8.398950131,9.973753281,23.88451444,66.14173228,580800
241,92118,361,365,726,288,159,1173,30.77578858,31.11679454,61.89258312,24.55242967,13.55498721,1656900
242,92122,11,5,16,7,4,27,40.74074074,18.51851852,59.25925926,25.92592593,14.81481481,780000
243,92123,134,135,269,137,144,550,24.36363636,24.54545455,48.90909091,24.90909091,26.18181818,600900
244,92131,33,31,64,22,32,118,27.96610169,26.27118644,54.23728814,18.6440678,27.11864407,885500
245,92154,290,642,932,1179,2313,4424,6.555153707,14.51175407,21.06690778,26.65009042,52.28300181,477900
246,92173,3,18,21,66,268,355,0.845070423,5.070422535,5.915492958,18.5915493,75.49295775,388700
247,92201,32,123,155,271,518,944,3.389830508,13.02966102,16.41949153,28.70762712,54.87288136,272400
248,92223,227,418,645,721,1010,2376,9.553872054,17.59259259,27.14646465,30.34511785,42.50841751,354000
249,92227,43,86,129,136,174,439,9.79498861,19.58997722,29.38496583,30.97949886,39.63553531,226700
250,92231,67,123,190,177,290,657,10.1978691,18.72146119,28.91933029,26.94063927,44.14003044,233300
251,92233,11,34,45,126,330,501,2.195608782,6.786427146,8.982035928,25.1497006,65.86826347,158400
252,92234,24,67,91,121,330,542,4.42804428,12.36162362,16.7896679,22.32472325,60.88560886,325200
253,92236,128,324,452,929,2319,3700,3.459459459,8.756756757,12.21621622,25.10810811,62.67567568,262300
254,92240,12,33,45,45,81,171,7.01754386,19.29824561,26.31578947,26.31578947,47.36842105,230300
255,92243,195,330,525,537,664,1726,11.29779838,19.1193511,30.41714948,31.11239861,38.47045191,216700
